childTableName,childTableType,relationship,parentTableName,parentTableType,ClientID,AppID
V_CUST_SERV_TIME_RANGE,Table,Created from,DWL_P.DW_PEP_CALDR_DT,Table,3,4
V_CUST_SERV_TIME_RANGE,Table,Created from,DWL_P.DW_TMSLC_CUR_REF_DT,Table,5,6
V_CUST_SERV_ELIG_BASE,Table,Created from,DWL_P.DW_CUST_RPRTNG_ATRBT,Table,9,10
V_CUST_SERV_ELIG_BASE,Table,Created from,DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_DAILY,Table,11,12
V_CUST_SERV_ELIG_BASE,Table,Created from,V_CUST_SERV_TIME_RANGE,Table,13,14
V_CUST_AGGR_SAS_WKLY,Table,Created from,DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_DAILY,Table,17,18
V_CUST_AGGR_SAS_WKLY,Table,Created from,V_CUST_SERV_ELIG_BASE,Table,19,20
V_CUST_SERV_TIME_WK_RANGE,Table,Created from,V_CUST_SERV_TIME_RANGE,Table,23,24
V_CUST_STD_CALC_RANGE,Table,Created from,V_CUST_SERV_TIME_WK_RANGE,Table,27,28
V_CUST_WK_ACTL_CALL_RANGE,Table,Created from,V_CUST_SERV_ELIG_BASE,Table,31,32
V_CUST_WK_ACTL_CALL_RANGE,Table,Created from,V_CUST_AGGR_SAS_WKLY,Table,33,34
V_CUST_WK_ACTL_CALL_RANGE,Table,Created from,V_CUST_STD_CALC_RANGE,Table,35,36
V_STD_WSA_CUST,Table,Created from,SEM_EXTRCT.DLS_FLNA_SLS_CUST_TMFRM_MEAS_WKLY,Table,39,40
V_STD_WSA_CUST,Table,Created from,V_CUST_SERV_ELIG_BASE,Table,41,42
V_STD_WSA_CUST,Table,Created from,V_CUST_SERV_TIME_WK_RANGE,Table,43,44
V_CUST_STD_WKLY,Table,Created from,V_STD_WSA_CUST,Table,47,48
V_CUST_STD_WKLY,Table,Created from,ACQ_P.PGT_FLNA_OPS_CUST_NATL_STD_SERV_CALL_DT_EFF,Table,49,50
V_CUST_STD_WKLY,Table,Created from,V_CUST_WK_ACTL_CALL_RANGE,Table,51,52
V_CUST_SERV_WKLY_FNL,Table,Created from,V_CUST_AGGR_SAS_WKLY,Table,55,56
V_CUST_SERV_WKLY_FNL,Table,Created from,V_CUST_STD_WKLY,Table,57,58
V_CUST_EXCLUSION,Table,Created from,V_CUST_SERV_WKLY_FNL,Table,61,62
V_CUST_EXCLUSION,Table,Created from,DWL_P.DW_CUST_RPRTNG_ATRBT,Table,63,64
V_CUST_EXCLUSION,Table,Created from,DWL_P.DW_DATA_PARM_ATRBT_VAL,Table,65,66
TGT,Table,Update,DWL_P.DW_CUST_RPRTNG_ATRBT,Table,69,70
TGT,Table,Update,V_CUST_EXCLUSION,Table,71,72
TGT,Table,Update,V_CUST_SERV_WKLY_FNL,Table,73,74
V_DELIV_NM_WKLY,Table,Created from,SEM_EXTRCT.DW_CUST_VISTSCHD_DAY_PLANACTY,Table,77,78
V_VOLBAND_CURR,Table,Created from,V_FNL_CUST,CTE,81,82
V_FNL_CUST,CTE,Created from,V_CUST_SERV_WKLY_FNL,Table,83,84
V_VOLBAND_CURR,Table,Created from,V_WSA,CTE,85,86
V_WSA,CTE,Created from,SEM_EXTRCT.DLS_FLNA_SLS_CUST_TMFRM_MEAS_WKLY,Table,87,88
V_WSA,CTE,Created from,SEM_EXTRCT.DLS_FLNA_TIME_TBL_V,Table,89,90
V_VOLBAND_CURR,Table,Created from,ACQ_P.PGT_FLNA_OPS_CUST_NATL_STD_SERV_CALL_DT_EFF,Table,91,92
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Delete,V_CUST_SERV_TIME_RANGE,Table,95,96
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Delete,DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,97,98
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,V_CUST_SERV_TIME_RANGE,Table,99,100
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,PEPCMN_P.STEP,Table,101,102
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,PEPCMN_P.ACTVTY,Table,103,104
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,PEPCMN_P.SYS,Table,105,106
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,V_CUST_SERV_WKLY_FNL,Table,107,108
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,V_DELIV_NM_WKLY,Table,109,110
DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,Insert,V_VOLBAND_CURR,Table,111,112
TGT,Table,Update,DWL_P_DRVD.PGT_FLNA_CUST_VIST_ACTVTY_MEAS_WKLY,Table,113,114
TGT,Table,Update,DWL_P.DW_DATA_PARM_ATRBT_VAL,Table,115,116
TGT,Table,Update,V_CUST_SERV_ELIG_BASE,Table,117,118
